Call_date,Ticker,volume,Delivery %
2026-04-23 18:30:00,INFY,42078914,57.67
2026-04-22 18:30:00,INFY,14792854,52.87
2026-04-21 18:30:00,INFY,20088378,54.57
2026-04-20 18:30:00,INFY,10057440,42.02
2026-04-19 18:30:00,INFY,7172300,52.49
2026-04-16 18:30:00,INFY,12064048,59.86
2026-04-15 18:30:00,INFY,18527029,41.17
2026-04-14 18:30:00,INFY,12098912,52.88
2026-04-12 18:30:00,INFY,10366082,33.66
2026-04-09 18:30:00,INFY,19233369,52.71
2026-04-08 18:30:00,INFY,14894607,46.2
2026-04-07 18:30:00,INFY,16030133,53.51
2026-04-06 18:30:00,INFY,15355792,49.25
2026-04-05 18:30:00,INFY,10208682,59.4
2026-04-01 18:30:00,INFY,12873492,42.51
2026-03-31 18:30:00,INFY,8137156,40.87
2026-03-29 18:30:00,INFY,14108486,49.55
2026-03-26 18:30:00,INFY,13092541,50.82
2026-03-24 18:30:00,INFY,10824030,51.29
2026-04-23 18:30:00,HDFCBANK,27720358,59.89
2026-04-22 18:30:00,HDFCBANK,37677616,57.6
2026-04-21 18:30:00,HDFCBANK,23876412,63.07
2026-04-20 18:30:00,HDFCBANK,49135752,48.64
2026-04-19 18:30:00,HDFCBANK,52148044,52.5
2026-04-16 18:30:00,HDFCBANK,37282544,62.49
2026-04-15 18:30:00,HDFCBANK,62861293,42.22
2026-04-14 18:30:00,HDFCBANK,39769515,47.68
2026-04-12 18:30:00,HDFCBANK,47549328,39.82
2026-04-09 18:30:00,HDFCBANK,38156026,54.08
2026-04-08 18:30:00,HDFCBANK,48879392,43.83
2026-04-07 18:30:00,HDFCBANK,70269512,59.47
2026-04-06 18:30:00,HDFCBANK,51309793,53.26
2026-04-05 18:30:00,HDFCBANK,42976659,55.89
2026-04-01 18:30:00,HDFCBANK,49310300,48.27
2026-03-31 18:30:00,HDFCBANK,78862761,63.42
2026-03-29 18:30:00,HDFCBANK,103500135,60.31
2026-03-26 18:30:00,HDFCBANK,65485199,64.03
2026-03-24 18:30:00,HDFCBANK,59230640,60.53
2026-04-23 18:30:00,ICICIBANK,14056743,78.45
2026-04-22 18:30:00,ICICIBANK,20111792,63.39
2026-04-21 18:30:00,ICICIBANK,13613487,65.2
2026-04-20 18:30:00,ICICIBANK,23312455,38.33
2026-04-19 18:30:00,ICICIBANK,21551520,49.03
2026-04-16 18:30:00,ICICIBANK,18151993,59.04
2026-04-15 18:30:00,ICICIBANK,24017236,30.18
2026-04-14 18:30:00,ICICIBANK,23827473,55.56
2026-04-12 18:30:00,ICICIBANK,30572141,61.72
2026-04-09 18:30:00,ICICIBANK,18174755,58.85
2026-04-08 18:30:00,ICICIBANK,22923062,45.1
2026-04-07 18:30:00,ICICIBANK,25148651,58.64
2026-04-06 18:30:00,ICICIBANK,25600557,61.74
2026-04-05 18:30:00,ICICIBANK,10058414,58.39
2026-04-01 18:30:00,ICICIBANK,20851722,46.23
2026-03-31 18:30:00,ICICIBANK,25472333,65.85
2026-03-29 18:30:00,ICICIBANK,23952775,39.21
2026-03-26 18:30:00,ICICIBANK,23630905,71.38
2026-03-24 18:30:00,ICICIBANK,17290030,50.07
2026-04-23 18:30:00,RELIANCE,11744802,68.32
2026-04-22 18:30:00,RELIANCE,1,100.0
2026-04-22 18:30:00,RELIANCE,16385079,48.89
2026-04-21 18:30:00,RELIANCE,9525953,61.67
2026-04-20 18:30:00,RELIANCE,27293629,47.72
2026-04-19 18:30:00,RELIANCE,13614733,43.6
2026-04-16 18:30:00,RELIANCE,13869105,43.59
2026-04-15 18:30:00,RELIANCE,30211012,27.32
2026-04-14 18:30:00,RELIANCE,15313779,50.97
2026-04-12 18:30:00,RELIANCE,28753269,49.54
2026-04-09 18:30:00,RELIANCE,19364461,58.26
2026-04-08 18:30:00,RELIANCE,20725390,36.21
2026-04-07 18:30:00,RELIANCE,21817543,47.98
2026-04-06 18:30:00,RELIANCE,28388922,46.14
2026-04-05 18:30:00,RELIANCE,29274881,49.59
2026-04-01 18:30:00,RELIANCE,21280051,38.42
2026-03-31 18:30:00,RELIANCE,14404619,50.56
2026-03-29 18:30:00,RELIANCE,24393861,46.84
2026-03-26 18:30:00,RELIANCE,23266517,54.05
2026-03-24 18:30:00,RELIANCE,19041331,47.45
2026-04-23 18:30:00,SUNPHARMA,9606128,63.67
2026-04-22 18:30:00,SUNPHARMA,3245164,56.86
2026-04-21 18:30:00,SUNPHARMA,2169514,67.1
2026-04-20 18:30:00,SUNPHARMA,3631490,73.89
2026-04-19 18:30:00,SUNPHARMA,1834532,61.16
2026-04-16 18:30:00,SUNPHARMA,3146482,65.48
2026-04-15 18:30:00,SUNPHARMA,4512633,61.24
2026-04-14 18:30:00,SUNPHARMA,3760449,68.2
2026-04-12 18:30:00,SUNPHARMA,3751005,56.54
2026-04-09 18:30:00,SUNPHARMA,8089531,48.76
2026-04-08 18:30:00,SUNPHARMA,3276165,67.16
2026-04-07 18:30:00,SUNPHARMA,4859877,66.24
2026-04-06 18:30:00,SUNPHARMA,2471378,59.49
2026-04-05 18:30:00,SUNPHARMA,3533715,59.77
2026-04-01 18:30:00,SUNPHARMA,3937824,48.69
2026-03-31 18:30:00,SUNPHARMA,3245628,62.76
2026-03-29 18:30:00,SUNPHARMA,4182503,56.94
2026-03-26 18:30:00,SUNPHARMA,2975423,64.08
2026-03-24 18:30:00,SUNPHARMA,1900794,57.75
2026-04-23 18:30:00,SBIN,13774745,62.29
2026-04-22 18:30:00,SBIN,13669001,46.37
2026-04-21 18:30:00,SBIN,12412659,59.68
2026-04-20 18:30:00,SBIN,16963734,51.11
2026-04-19 18:30:00,SBIN,31179584,58.64
